2.601e+06,7129
1.95075e+06,6918
1.46306e+06,7014
1.0973e+06,6800
822973,7035
617229,6792
462922,6972
347192,6815
260394,6897
195295,6868
146471,6702
109854,6750
82390.2,6940
61792.6,7057
46344.5,6835
34758.4,6992
26068.8,6849
19551.6,6873
14663.7,6952
10997.8,6831
8248.32,6746
6186.24,6982
4639.68,6897
3479.76,7053
2609.82,6901
1957.37,6775
1468.02,7229
1101.02,6889
825.764,6857
619.323,6639
464.492,6822
348.369,6919
261.277,6881
195.958,6794
146.968,7065
110.226,6728
82.6696,6866
62.0022,6766
46.5016,6623
34.8762,6699
26.1572,6419
19.6179,6486
14.7134,6231
11.0351,6050
8.27629,5744
6.20722,5291
4.65542,4904
3.49156,4428
2.61867,4123
1.964,3756
1.473,3448
1.10475,3263
0.828564,3143
0.621423,2982
0.466067,2820
0.34955,2804
0.262163,2760
0.196622,2615
0.147467,2664
0.1106,2573
0.08295,2527
0.0622125,2495
0.0466593,2492
0.0349945,2418
0.0262459,2414
0.0196844,2508
0.0147633,2398
0.0110725,2370
0.00830436,2332
0.00622827,2334
0.0046712,2350
0.0035034,2306
0.00262755,2358
0.00197066,2279
0.001478,2305
0.0011085,2235
0.000831374,2288
0.00062353,2271
0.000467648,2287
0.000350736,2248
0.000263052,2218
0.000197289,2293
0.000147967,2220
0.000110975,2209
8.32313e-05,2247
