Temp,TWL
84000,182
84000,182
84000,169
84000,181
84000,181
84000,181
84000,181
84000,181
84000,179
84000,176
84000,176
84000,174
84000,178
84000,175
84000,178
84000,182
84000,184
84000,186
84000,172
84000,169
84000,167
84000,167
84000,167
84000,167
84000,169
84000,161
84000,159
84000,159
84000,161
84000,157
84000,157
84000,163
84000,157
84000,159
84000,153
84000,154
84000,151
84000,155
84000,167
84000,170
84000,168
84000,170
84000,160
84000,164
84000,165
84000,166
84000,167
84000,163
84000,165
84000,169
84000,171
84000,171
84000,169
84000,158
84000,158
84000,156
84000,166
84000,174
84000,173
84000,167
84000,174
84000,174
84000,169
84000,167
84000,169
84000,169
84000,165
84000,169
84000,171
84000,173
84000,173
84000,165
84000,161
84000,163
84000,162
84000,164
84000,168
84000,164
84000,162
84000,161
84000,162
84000,164
84000,163
84000,163
84000,146
84000,156
84000,157
84000,163
84000,162
84000,161
84000,159
84000,161
84000,161
84000,165
84000,161
84000,159
84000,151
84000,151
84000,152
84000,154
84000,153
84000,173
84000,170
84000,167
84000,167
84000,163
84000,166
84000,167
84000,167
84000,167
84000,165
84000,163
84000,182
84000,182
84000,182
84000,183
84000,183
84000,181
84000,183
84000,184
84000,178
84000,171
84000,163
84000,159
84000,160
84000,154
84000,154
84000,156
84000,156
84000,158
84000,160
84000,164
84000,164
84000,164
84000,150
84000,150
84000,150
84000,154
84000,158
84000,156
84000,155
84000,157
84000,150
84000,154
84000,147
84000,149
84000,148
84000,149
84000,151
84000,149
84000,147
84000,163
84000,164
84000,156
84000,158
84000,160
84000,154
84000,156
84000,164
84000,164
84000,166
84000,166
84000,170
84000,170
84000,171
84000,179
84000,182
84000,182
84000,182
84000,177
84000,183
84000,179
84000,161
84000,158
84000,158
84000,159
84000,159
84000,162
84000,166
84000,184
84000,186
84000,186
84000,186
84000,186
84000,188
84000,184
84000,184
84000,187
84000,191
84000,189
84000,187
84000,183
84000,183
84000,181
84000,179
84000,177
84000,179
84000,177
84000,181
84000,175
84000,175
84000,174
84000,170
84000,166
84000,164
84000,168
84000,169
84000,172
84000,172
84000,170
84000,170
84000,171
84000,163
84000,164
84000,156
84000,154
84000,175
84000,182
84000,184
84000,185
84000,189
84000,185
84000,183
84000,181
84000,181
84000,190
84000,191
84000,185
84000,183
84000,179
84000,177
84000,175
84000,174
84000,174
84000,175
84000,177
84000,163
84000,162
84000,158
84000,158
84000,156
84000,156
84000,168
84000,168
84000,168
84000,166
84000,165
84000,161
84000,157
84000,152
84000,153
84000,147
84000,149
84000,146
84000,146
84000,145
84000,149
84000,150
84000,155
84000,166
84000,161
84000,171
84000,169
84000,166
84000,172
84000,167
84000,165
84000,173
84000,177
84000,177
84000,179
84000,176
84000,178
84000,171
84000,177
84000,177
84000,176
84000,174
84000,173
84000,173
84000,174
84000,174
84000,175
84000,163
84000,167
84000,171
84000,167
84000,167
84000,173
84000,174
84000,171
84000,166
84000,165
84000,167
84000,161
84000,162
84000,162
84000,169
84000,177
84000,177
84000,173
84000,172
84000,176
84000,166
84000,163
84000,171
84000,173
84000,173
84000,171
84000,162
84000,158
84000,152
84000,152
84000,152
84000,150
84000,151
84000,149
84000,163
84000,164
84000,165
84000,169
84000,171
84000,167
84000,159
84000,162
84000,164
84000,162
84000,160
84000,156
84000,153
84000,146
84000,141
84000,146
84000,140
84000,140
84000,145
84000,145
84000,154
84000,155
84000,151
84000,167
84000,167
84000,167
84000,164
84000,164
84000,166
84000,166
84000,153
84000,153
84000,159
84000,153
84000,149
84000,154
84000,153
84000,162
84000,160
84000,162
84000,162
84000,162
84000,160
63000,160
63000,160
63000,153
63000,164
63000,162
63000,162
63000,173
63000,167
63000,167
63000,167
63000,163
63000,170
63000,172
63000,172
63000,184
63000,186
63000,186
63000,180
63000,180
63000,172
63000,179
63000,178
63000,172
63000,175
63000,174
63000,170
63000,172
63000,173
63000,171
63000,187
63000,189
63000,179
63000,180
63000,180
63000,179
63000,182
63000,182
63000,188
63000,192
63000,187
63000,181
63000,176
63000,174
63000,176
63000,168
63000,167
63000,164
63000,164
63000,162
63000,166
63000,166
63000,164
63000,168
63000,170
63000,172
63000,172
63000,172
63000,170
63000,168
63000,151
63000,151
63000,144
63000,150
63000,156
63000,152
63000,156
63000,157
63000,159
63000,153
63000,157
63000,163
63000,165
63000,164
63000,164
63000,169
63000,169
63000,169
63000,177
63000,177
63000,177
63000,175
63000,173
63000,175
63000,173
63000,168
63000,159
63000,154
63000,152
63000,150
63000,157
63000,157
63000,157
63000,155
63000,159
63000,160
63000,156
63000,156
63000,158
63000,158
63000,160
63000,172
63000,165
63000,163
63000,165
63000,165
63000,165
63000,166
63000,165
63000,163
63000,165
63000,168
63000,171
63000,172
63000,172
63000,165
63000,164
63000,161
63000,160
63000,162
63000,160
63000,155
63000,149
63000,161
63000,157
63000,173
63000,171
63000,163
63000,163
63000,157
63000,159
63000,161
63000,163
63000,171
63000,163
63000,169
63000,169
63000,169
63000,172
63000,172
63000,171
63000,163
63000,161
63000,159
63000,153
63000,157
63000,156
63000,148
63000,148
63000,142
63000,134
63000,134
63000,138
63000,147
63000,162
63000,154
63000,161
63000,174
63000,166
63000,162
63000,161
63000,166
63000,166
63000,164
63000,157
63000,158
63000,161
63000,159
63000,161
63000,161
63000,166
63000,163
63000,160
63000,157
63000,141
63000,138
63000,140
63000,144
63000,145
63000,145
63000,143
63000,141
63000,145
63000,146
63000,148
63000,150
63000,150
63000,160
63000,157
63000,151
63000,139
63000,138
63000,146
63000,150
63000,150
63000,146
63000,148
63000,142
63000,142
63000,140
63000,144
63000,145
63000,147
63000,146
63000,149
63000,147
63000,142
63000,140
63000,141
63000,141
63000,151
63000,155
63000,155
63000,151
63000,152
63000,158
63000,162
63000,170
63000,160
63000,159
63000,165
63000,166
63000,169
63000,174
63000,174
63000,175
63000,173
63000,173
63000,173
63000,174
63000,172
63000,162
63000,162
63000,158
63000,167
63000,169
63000,165
63000,167
63000,167
63000,179
63000,175
63000,178
63000,178
63000,176
63000,160
63000,162
63000,165
63000,163
63000,163
63000,173
63000,178
63000,176
63000,178
63000,180
63000,178
63000,174
63000,175
63000,185
63000,183
63000,181
63000,187
63000,185
63000,186
63000,184
63000,188
63000,190
63000,198
63000,202
63000,204
63000,195
63000,195
63000,197
63000,181
63000,178
63000,176
63000,158
63000,164
63000,168
63000,168
63000,166
63000,166
63000,162
63000,161
63000,161
63000,161
63000,163
63000,163
63000,159
63000,157
63000,159
63000,169
63000,172
63000,172
63000,168
63000,174
63000,170
63000,172
63000,175
63000,177
63000,177
63000,177
63000,179
63000,177
63000,178
63000,176
63000,176
63000,180
63000,175
63000,169
63000,170
63000,170
63000,168
63000,168
63000,170
63000,171
63000,176
63000,176
63000,170
63000,172
63000,172
63000,176
63000,180
63000,180
63000,178
63000,175
63000,166
63000,167
63000,168
63000,172
63000,180
63000,184
63000,191
63000,183
63000,177
63000,176
63000,174
63000,166
63000,167
63000,164
63000,163
63000,163
63000,172
63000,161
63000,164
63000,164
63000,164
63000,164
63000,164
63000,170
63000,176
63000,186
63000,188
63000,188
63000,192
63000,194
63000,198
63000,194
63000,190
63000,188
63000,188
63000,190
47250,192
47250,192
47250,190
47250,188
47250,194
47250,195
47250,194
47250,185
47250,189
47250,189
47250,191
47250,184
47250,186
47250,185
47250,182
47250,182
47250,189
47250,191
47250,189
47250,193
47250,196
47250,198
47250,196
47250,198
47250,199
47250,202
47250,204
47250,191
47250,186
47250,190
47250,191
47250,188
47250,188
47250,188
47250,186
47250,189
47250,185
47250,178
47250,178
47250,177
47250,172
47250,166
47250,163
47250,163
47250,165
47250,161
47250,156
47250,152
47250,150
47250,150
47250,151
47250,156
47250,159
47250,159
47250,161
47250,163
47250,161
47250,162
47250,154
47250,157
47250,157
47250,157
47250,156
47250,154
47250,168
47250,170
47250,172
47250,170
47250,171
47250,173
47250,175
47250,177
47250,179
47250,178
47250,179
47250,179
47250,177
47250,174
47250,184
47250,185
47250,181
47250,183
47250,180
47250,172
47250,164
47250,178
47250,186
47250,179
47250,181
47250,179
47250,185
47250,185
47250,193
47250,177
47250,177
47250,180
47250,179
47250,179
47250,181
47250,178
47250,170
47250,172
47250,164
47250,166
47250,168
47250,165
47250,165
47250,162
47250,158
47250,162
47250,142
47250,148
47250,148
47250,147
47250,154
47250,159
47250,159
47250,165
47250,166
47250,162
47250,164
47250,164
47250,167
47250,173
47250,171
47250,173
47250,171
47250,171
47250,175
47250,173
47250,170
47250,180
47250,181
47250,179
47250,179
47250,181
47250,191
47250,196
47250,187
47250,188
47250,188
47250,182
47250,182
47250,176
47250,171
47250,179
47250,172
47250,174
47250,174
47250,177
47250,181
47250,186
47250,174
47250,169
47250,167
47250,170
47250,170
47250,170
47250,176
47250,169
47250,172
47250,170
47250,170
47250,167
47250,173
47250,175
47250,174
47250,174
47250,174
47250,179
47250,186
47250,188
47250,184
47250,184
47250,184
47250,180
47250,176
47250,178
47250,180
47250,177
47250,177
47250,183
47250,179
47250,183
47250,183
47250,183
47250,170
47250,175
47250,183
47250,177
47250,162
47250,166
47250,165
47250,163
47250,163
47250,155
47250,155
47250,153
47250,153
47250,151
47250,151
47250,160
47250,160
47250,160
47250,164
47250,160
47250,162
47250,166
47250,168
47250,168
47250,169
47250,171
47250,175
47250,177
47250,179
47250,181
47250,175
47250,173
47250,169
47250,169
47250,171
47250,167
47250,173
47250,167
47250,167
47250,163
47250,160
47250,152
47250,162
47250,162
47250,159
47250,159
47250,155
47250,157
47250,155
47250,153
47250,147
47250,149
47250,149
47250,143
47250,141
47250,158
47250,158
47250,156
47250,153
47250,143
47250,148
47250,140
47250,140
47250,140
47250,146
47250,150
47250,153
47250,150
47250,148
47250,150
47250,154
47250,156
47250,156
47250,144
47250,143
47250,139
47250,135
47250,145
47250,149
47250,152
47250,153
47250,155
47250,157
47250,159
47250,170
47250,164
47250,160
47250,168
47250,167
47250,165
47250,166
47250,162
47250,162
47250,162
47250,172
47250,176
47250,176
47250,177
47250,181
47250,185
47250,187
47250,177
47250,175
47250,172
47250,172
47250,159
47250,179
47250,179
47250,173
47250,173
47250,173
47250,177
47250,184
47250,184
47250,184
47250,188
47250,186
47250,172
47250,181
47250,188
47250,189
47250,188
47250,188
47250,180
47250,176
47250,177
47250,177
47250,177
47250,165
47250,168
47250,168
47250,176
47250,187
47250,179
47250,163
47250,160
47250,159
47250,159
47250,157
47250,155
47250,156
47250,160
47250,160
47250,157
47250,155
47250,156
47250,154
47250,157
47250,163
47250,163
47250,168
47250,169
47250,170
47250,168
47250,168
47250,166
47250,169
47250,166
47250,162
47250,152
47250,158
47250,158
47250,159
47250,161
47250,163
47250,165
47250,167
47250,166
47250,164
47250,156
47250,156
47250,154
47250,150
47250,150
35437.5,157
35437.5,157
35437.5,155
35437.5,155
35437.5,173
35437.5,175
35437.5,172
35437.5,174
35437.5,176
35437.5,174
35437.5,173
35437.5,175
35437.5,175
35437.5,167
35437.5,171
35437.5,171
35437.5,171
35437.5,172
35437.5,169
35437.5,168
35437.5,165
35437.5,165
35437.5,163
35437.5,168
35437.5,166
35437.5,172
35437.5,168
35437.5,164
35437.5,168
35437.5,168
35437.5,146
35437.5,146
35437.5,158
35437.5,158
35437.5,160
35437.5,168
35437.5,172
35437.5,164
35437.5,166
35437.5,168
35437.5,168
35437.5,162
35437.5,166
35437.5,168
35437.5,166
35437.5,167
35437.5,165
35437.5,165
35437.5,165
35437.5,165
35437.5,164
35437.5,151
35437.5,143
35437.5,144
35437.5,160
35437.5,160
35437.5,158
35437.5,154
35437.5,154
35437.5,156
35437.5,160
35437.5,163
35437.5,157
35437.5,157
35437.5,157
35437.5,157
35437.5,161
35437.5,156
35437.5,158
35437.5,163
35437.5,160
35437.5,156
35437.5,156
35437.5,158
35437.5,162
35437.5,166
35437.5,156
35437.5,151
35437.5,146
35437.5,150
35437.5,150
35437.5,148
35437.5,148
35437.5,148
35437.5,146
35437.5,140
35437.5,139
35437.5,153
35437.5,151
35437.5,151
35437.5,163
35437.5,165
35437.5,170
35437.5,176
35437.5,181
35437.5,181
35437.5,175
35437.5,167
35437.5,166
35437.5,168
35437.5,169
35437.5,171
35437.5,171
35437.5,173
35437.5,185
35437.5,181
35437.5,183
35437.5,181
35437.5,183
35437.5,177
35437.5,183
35437.5,184
35437.5,173
35437.5,171
35437.5,170
35437.5,168
35437.5,167
35437.5,168
35437.5,167
35437.5,167
35437.5,167
35437.5,175
35437.5,161
35437.5,162
35437.5,166
35437.5,162
35437.5,166
35437.5,157
35437.5,155
35437.5,157
35437.5,154
35437.5,151
35437.5,152
35437.5,157
35437.5,158
35437.5,150
35437.5,144
35437.5,144
35437.5,146
35437.5,147
35437.5,146
35437.5,145
35437.5,144
35437.5,152
35437.5,150
35437.5,149
35437.5,153
35437.5,149
35437.5,143
35437.5,154
35437.5,152
35437.5,149
35437.5,147
35437.5,146
35437.5,140
35437.5,138
35437.5,135
35437.5,141
35437.5,141
35437.5,143
35437.5,145
35437.5,141
35437.5,143
35437.5,141
35437.5,151
35437.5,150
35437.5,153
35437.5,153
35437.5,159
35437.5,157
35437.5,157
35437.5,158
35437.5,161
35437.5,155
35437.5,152
35437.5,153
35437.5,155
35437.5,151
35437.5,152
35437.5,149
35437.5,147
35437.5,161
35437.5,162
35437.5,160
35437.5,156
35437.5,168
35437.5,164
35437.5,152
35437.5,152
35437.5,160
35437.5,167
35437.5,163
35437.5,160
35437.5,161
35437.5,163
35437.5,168
35437.5,168
35437.5,156
35437.5,152
35437.5,159
35437.5,158
35437.5,157
35437.5,149
35437.5,147
35437.5,150
35437.5,150
35437.5,152
35437.5,152
35437.5,158
35437.5,161
35437.5,169
35437.5,170
35437.5,164
35437.5,164
35437.5,162
35437.5,172
35437.5,176
35437.5,172
