1.34888e+06,3689
1.01166e+06,3784
758742,3718
569057,3616
426792,3822
320094,3723
240071,3790
180053,3706
135040,3649
101280,3505
75959.9,3667
56969.9,3819
42727.4,3493
32045.6,3666
24034.2,3620
18025.6,3638
13519.2,3614
10139.4,3533
7604.57,3640
5703.42,3578
4277.57,3641
3208.18,3410
2406.13,3504
1804.6,3599
1353.45,3569
1015.09,3404
761.315,3716
570.986,3736
428.24,3641
321.18,3713
240.885,3498
180.664,3600
135.498,3599
101.623,3629
76.2175,3644
57.1631,3458
42.8723,3600
32.1543,3145
24.1157,3484
18.0868,3410
13.5651,3041
10.1738,2831
7.63036,2737
5.72277,2375
4.29207,2292
3.21906,2142
2.41429,1935
1.81072,1740
1.35804,1594
1.01853,1510
0.763897,1480
0.572923,1494
0.429692,1343
0.322269,1338
0.241702,1277
0.181276,1267
0.135957,1275
0.101968,1213
0.076476,1199
0.057357,1177
0.0430177,1201
0.0322633,1156
0.0241975,1184
0.0181481,1148
0.0136111,1142
0.0102083,1125
0.00765623,1138
0.00574217,1116
0.00430663,1103
0.00322997,1096
0.00242248,1126
0.00181686,1093
0.00136264,1075
0.00102198,1071
0.000766488,1149
0.000574866,1097
0.000431149,1097
0.000323362,1091
0.000242522,1081
0.000181891,1079
0.000136418,1088
0.000102314,1057
7.67353e-05,1033
